node_u,node_v,jsd,zone_similarity,same_primary,completely_diff
Ben Thanh Market,Binh Thanh,0.0015072770845095008,0.5773502691896258,0,0
Ben Thanh Market,District 1,0.01115738746663331,0.6708203932499369,0,0
Ben Thanh Market,District 3,0.0016238227546407343,0.6708203932499369,0,0
Ben Thanh Market,District 5,0.03105267678258185,0.6123724356957946,0,0
Ben Thanh Market,Eastern Bus Station,0.010325103708844766,0.5773502691896258,0,0
Ben Thanh Market,Hang Xanh,0.0012140624357768978,0.75,1,0
Ben Thanh Market,High Tech Park,0.006576986051748411,0.0,0,1
Ben Thanh Market,Landmark 81,0.010603198723906228,0.35355339059327373,0,0
Ben Thanh Market,Linh Trung,0.03170996320877283,0.0,0,1
Ben Thanh Market,Pham Van Dong,0.0010446369389668546,0.75,1,0
Ben Thanh Market,Saigon Bridge,0.0111400143319653,0.35355339059327373,0,0
Ben Thanh Market,Suoi Tien,0.01787107743238249,0.5773502691896258,0,0
Ben Thanh Market,Tan Son Nhat Airport,0.017173793017163076,0.7071067811865475,1,0
Ben Thanh Market,Thu Duc,0.0015481681178161047,0.6708203932499369,0,0
Ben Thanh Market,Thu Thiem Tunnel,0.009689815612509263,0.5773502691896258,0,0
Ben Thanh Market,VNU HCM,0.0016622159521740257,0.25,0,0
Binh Thanh,District 1,0.012924670906262167,0.5163977794943222,0,0
Binh Thanh,District 3,0.0009853919112570262,0.7745966692414834,1,0
Binh Thanh,District 5,0.031962192854730204,0.7071067811865476,1,0
Binh Thanh,Eastern Bus Station,0.011650283763648158,0.6666666666666667,0,0
Binh Thanh,Hang Xanh,0.0009192031129871661,0.8660254037844387,1,0
Binh Thanh,High Tech Park,0.007301325389770451,0.0,0,1
Binh Thanh,Landmark 81,0.011897417180215954,0.8164965809277259,1,0
Binh Thanh,Linh Trung,0.032571147356507124,0.33333333333333337,0,0
Binh Thanh,Pham Van Dong,0.00078225472556382,0.8660254037844387,1,0
Binh Thanh,Saigon Bridge,0.01258405649012969,0.40824829046386296,0,0
Binh Thanh,Suoi Tien,0.020748172502042504,0.33333333333333337,0,0
Binh Thanh,Tan Son Nhat Airport,0.020034910993091626,0.40824829046386296,0,0
Binh Thanh,Thu Duc,0.0007227864721135134,0.7745966692414834,1,0
Binh Thanh,Thu Thiem Tunnel,0.011506937038856734,0.6666666666666667,0,0
Binh Thanh,VNU HCM,0.0012052322822483173,0.5773502691896258,0,0
District 1,District 3,0.012459060734677027,0.7999999999999998,1,0
District 1,District 5,0.03215255296872683,0.5477225575051661,0,0
District 1,Eastern Bus Station,0.0007391667541233376,0.7745966692414834,1,0
District 1,Hang Xanh,0.011675714694612958,0.6708203932499369,0,0
District 1,High Tech Park,0.018643943392474858,0.0,0,1
District 1,Landmark 81,0.0005295499736327459,0.6324555320336759,0,0
District 1,Linh Trung,0.0317373157706307,0.2581988897471611,0,0
District 1,Pham Van Dong,0.011863240737694174,0.6708203932499369,0,0
District 1,Saigon Bridge,0.0010982533995016162,0.6324555320336759,0,0
District 1,Suoi Tien,0.0027220883204772976,0.7745966692414834,1,0
District 1,Tan Son Nhat Airport,0.003064003211978863,0.6324555320336759,0,0
District 1,Thu Duc,0.011781824787440318,0.5999999999999999,0,0
District 1,Thu Thiem Tunnel,0.0008822520739091896,0.7745966692414834,1,0
District 1,VNU HCM,0.013946277746949976,0.4472135954999579,0,0
District 3,District 5,0.03178318400649817,0.7302967433402214,1,0
District 3,Eastern Bus Station,0.011547836813907236,0.5163977794943222,0,0
District 3,Hang Xanh,0.0008057319083912306,0.6708203932499369,0,0
District 3,High Tech Park,0.008292531874865571,0.0,0,1
District 3,Landmark 81,0.011727617264635014,0.6324555320336759,0,0
District 3,Linh Trung,0.032194299351023865,0.2581988897471611,0,0
District 3,Pham Van Dong,0.0009268612419859491,0.6708203932499369,0,0
District 3,Saigon Bridge,0.012101084434157902,0.31622776601683794,0,0
District 3,Suoi Tien,0.020319150005472908,0.5163977794943222,0,0
District 3,Tan Son Nhat Airport,0.01983457074026084,0.31622776601683794,0,0
District 3,Thu Duc,0.0009051730507881567,0.5999999999999999,0,0
District 3,Thu Thiem Tunnel,0.010797630901842941,0.5163977794943222,0,0
District 3,VNU HCM,0.0012378484596747067,0.6708203932499369,0,0
District 5,Eastern Bus Station,0.03231501543953812,0.47140452079103173,0,0
District 5,Hang Xanh,0.03063588152380195,0.6123724356957946,0,0
District 5,High Tech Park,0.024816151370585005,0.4082482904638631,0,0
District 5,Landmark 81,0.03245734909632589,0.5773502691896258,0,0
District 5,Linh Trung,0.0012087694004369815,0.7071067811865476,1,0
District 5,Pham Van Dong,0.03147150934911813,0.6123724356957946,0,0
District 5,Saigon Bridge,0.033413972530510164,0.2886751345948129,0,0
District 5,Suoi Tien,0.03806957136411951,0.23570226039551587,0,0
District 5,Tan Son Nhat Airport,0.038163030244262236,0.2886751345948129,0,0
District 5,Thu Duc,0.030509363456194635,0.7302967433402214,1,0
District 5,Thu Thiem Tunnel,0.03226244246079767,0.47140452079103173,0,0
District 5,VNU HCM,0.032807974730690595,0.6123724356957946,0,0
Eastern Bus Station,Hang Xanh,0.010659160874405122,0.8660254037844387,1,0
Eastern Bus Station,High Tech Park,0.01781692228685952,0.0,0,1
Eastern Bus Station,Landmark 81,0.0008246055438488572,0.8164965809277259,1,0
Eastern Bus Station,Linh Trung,0.03188929295166357,0.33333333333333337,0,0
Eastern Bus Station,Pham Van Dong,0.01088351482965497,0.8660254037844387,1,0
Eastern Bus Station,Saigon Bridge,0.0009505171454418924,0.8164965809277259,1,0
Eastern Bus Station,Suoi Tien,0.0028366198063607597,0.6666666666666667,0,0
Eastern Bus Station,Tan Son Nhat Airport,0.0026866381459138894,0.8164965809277259,1,0
Eastern Bus Station,Thu Duc,0.010717634098806108,0.7745966692414834,1,0
Eastern Bus Station,Thu Thiem Tunnel,0.0007772955891214915,1.0000000000000002,1,0
Eastern Bus Station,VNU HCM,0.012698531718093847,0.2886751345948129,0,0
Hang Xanh,High Tech Park,0.006693338789100987,0.0,0,1
Hang Xanh,Landmark 81,0.01109444167342347,0.7071067811865475,1,0
Hang Xanh,Linh Trung,0.03129848005597291,0.2886751345948129,0,0
Hang Xanh,Pham Van Dong,0.0006527772089537976,1.0,1,0
Hang Xanh,Saigon Bridge,0.01130246263549942,0.7071067811865475,1,0
Hang Xanh,Suoi Tien,0.019438745063060515,0.5773502691896258,0,0
Hang Xanh,Tan Son Nhat Airport,0.018757542588269886,0.7071067811865475,1,0
Hang Xanh,Thu Duc,0.0006773875566042703,0.8944271909999159,1,0
Hang Xanh,Thu Thiem Tunnel,0.010063927459231244,0.8660254037844387,1,0
Hang Xanh,VNU HCM,0.0012273509331329428,0.5,0,0
High Tech Park,Landmark 81,0.017658058502248584,0.0,0,1
